A00,"Uncommon Opening","1 g4, a3, h3, etc."
A01,"Nimzovich-Larsen Attack","1 b3"
A02,"Bird's Opening","1 f4"
A03,"Bird's Opening","1 f4 d5"
A04,"Reti Opening","1 Nf3"
A05,"Reti Opening","1 Nf3 Nf6"
A06,"Reti Opening","1 Nf3 d5"
A07,"King's Indian Attack","1 Nf3 d5 2 g3"
A08,"King's Indian Attack","1 Nf3 d5 2 g3 c5 3 Bg2"
A09,"Reti Opening","1 Nf3 d5 2 c4"
A10,"English","1 c4"
A11,"English, Caro-Kann Defensive System","1 c4 c6"
A12,"English with b3","1 c4 c6 2 Nf3 d5 3 b3"
A13,"English","1 c4 e6"
A14,"English","1 c4 e6 2 Nf3 d5 3 g3 Nf6 4 Bg2 Be7 5 O-O"
A15,"English","1 c4 Nf6"
A16,"English","1 c4 Nf6 2 Nc3"
A17,"English","1 c4 Nf6 2 Nc3 e6"
A18,"English, Mikenas-Carls","1 c4 Nf6 2 Nc3 e6 3 e4"
A19,"English, Mikenas-Carls, Sicilian Variation","1 c4 Nf6 2 Nc3 e6 3 e4 c5"
A20,"English","1 c4 e5"
A21,"English","1 c4 e5 2 Nc3"
A22,"English","1 c4 e5 2 Nc3 Nf6"
A23,"English, Bremen System, Keres Variation","1 c4 e5 2 Nc3 Nf6 3 g3 c6"
A24,"English, Bremen System with ...g6","1 c4 e5 2 Nc3 Nf6 3 g3 g6"
A25,"English","1 c4 e5 2 Nc3 Nc6"
A26,"English","1 c4 e5 2 Nc3 Nc6 3 g3 g6 4 Bg2 Bg7 5 d3 d6"
A27,"English, Three Knights System","1 c4 e5 2 Nc3 Nc6 3 Nf3"
A28,"English","1 c4 e5 2 Nc3 Nc6 3 Nf3 Nf6"
A29,"English, Four Knights, Kingside Fianchetto","1 c4 e5 2 Nc3 Nc6 3 Nf3 Nf6 4 g3"
A30,"English, Symmetrical","1 c4 c5"
A31,"English, Symmetrical, Benoni Formation","1 c4 c5 2 Nf3 Nf6 3 d4"
A32,"English, Symmetrical Variation","1 c4 c5 2 Nf3 Nf6 3 d4 cxd4 4 Nxd4 e6"
A33,"English, Symmetrical","1 c4 c5 2 Nf3 Nf6 3 d4 cxd4 4 Nxd4 e6 5 Nc3 Nc6"
A34,"English, Symmetrical","1 c4 c5 2 Nc3"
A35,"English, Symmetrical","1 c4 c5 2 Nc3 Nc6"
A36,"English","1 c4 c5 2 Nc3 Nc6 3 g3"
A37,"English, Symmetrical","1 c4 c5 2 Nc3 Nc6 3 g3 g6 4 Bg2 Bg7 5 Nf3"
A38,"English, Symmetrical","1 c4 c5 2 Nc3 Nc6 3 g3 g6 4 Bg2 Bg7 5 Nf3 Nf6"
A39,"English, Symmetrical, Main line with d4","1 c4 c5 2 Nc3 Nc6 3 g3 g6 4 Bg2 Bg7 5 Nf3 Nf6 6 O-O O-O 7 d4"
A40,"Queen's Pawn Game","1 d4"
A41,"Queen's Pawn Game (with ...d6)","1 d4 d6"
A42,"Modern Defense, Averbakh System","1 d4 d6 2 c4 g6 3 Nc3 Bg7 4 e4"
A43,"Old Benoni","1 d4 c5"
A44,"Old Benoni Defense","1 d4 c5 2 d5 e5"
A45,"Queen's Pawn Game","1 d4 Nf6"
A46,"Queen's Pawn Game","1 d4 Nf6 2 Nf3"
A47,"Queen's Indian","1 d4 Nf6 2 Nf3 b6"
A48,"King's Indian","1 d4 Nf6 2 Nf3 g6"
A49,"King's Indian, Fianchetto without c4","1 d4 Nf6 2 Nf3 g6 3 g3"
A50,"Queen's Pawn Game","1 d4 Nf6 2 c4"
A51,"Budapest Gambit","1 d4 Nf6 2 c4 e5"
A52,"Budapest Gambit","1 d4 Nf6 2 c4 e5 3 dxe5 Ng4"
A53,"Old Indian","1 d4 Nf6 2 c4 d6"
A54,"Old Indian, Ukrainian Variation, 4.Nf3","1 d4 Nf6 2 c4 d6 3 Nc3 e5 4 Nf3"
A55,"Old Indian, Main line","1 d4 Nf6 2 c4 d6 3 Nc3 e5 4 Nf3 Nbd7 5 e4"
A56,"Benoni Defense","1 d4 Nf6 2 c4 c5"
A57,"Benko Gambit","1 d4 Nf6 2 c4 c5 3 d5 b5"
A58,"Benko Gambit","1 d4 Nf6 2 c4 c5 3 d5 b5 4 cxb5 a6 5 bxa6"
A59,"Benko Gambit","1 d4 Nf6 2 c4 c5 3 d5 b5 4 cxb5 a6 5 bxa6 Bxa6 6 Nc3 d6 7 e4"
A60,"Benoni Defense","1 d4 Nf6 2 c4 c5 3 d5 e6"
A61,"Benoni","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 Nf3 g6"
A62,"Benoni, Fianchetto Variation","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 Nf3 g6 7 g3 Bg7 8 Bg2 O-O"
A63,"Benoni, Fianchetto, 9...Nbd7","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 Nf3 g6 7 g3 Bg7 8 Bg2 O-O 9"
A64,"Benoni, Fianchetto, 11...Re8","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 Nf3 g6 7 g3 Bg7 8 Bg2 O-O 9"
A65,"Benoni, 6.e4","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 e4"
A66,"Benoni","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 e4 g6 7 f4"
A67,"Benoni, Taimanov Variation","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 e4 g6 7 f4 Bg7 8 Bb5+"
A68,"Benoni, Four Pawns Attack","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 e4 g6 7 f4 Bg7 8 Nf3 O-O"
A69,"Benoni, Four Pawns Attack, Main line","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 e4 g6 7 f4 Bg7 8 Nf3 O-O 9"
A70,"Benoni, Classical with 7.Nf3","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 e4 g6 7 Nf3"
A71,"Benoni, Classical, 8.Bg5","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 e4 g6 7 Nf3 Bg7 8 Bg5"
A72,"Benoni, Classical without 9.O-O","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 e4 g6 7 Nf3 Bg7 8 Be2 O-O"
A73,"Benoni, Classical, 9.O-O","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 e4 g6 7 Nf3 Bg7 8 Be2 O-O 9"
A74,"Benoni, Classical, 9...a6, 10.a4","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 e4 g6 7 Nf3 Bg7 8 Be2 O-O 9"
A75,"Benoni, Classical with ...a6 and 10...Bg4","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 e4 g6 7 Nf3 Bg7 8 Be2 O-O 9"
A76,"Benoni, Classical, 9...Re8","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 e4 g6 7 Nf3 Bg7 8 Be2 O-O 9"
A77,"Benoni, Classical, 9...Re8, 10.Nd2","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 e4 g6 7 Nf3 Bg7 8 Be2 O-O 9"
A78,"Benoni, Classical with ...Re8 and ...Na6","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 e4 g6 7 Nf3 Bg7 8 Be2 O-O 9"
A79,"Benoni, Classical, 11.f3","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 e4 g6 7 Nf3 Bg7 8 Be2 O-O 9"
A80,"Dutch","1 d4 f5"
A81,"Dutch","1 d4 f5 2 g3"
A82,"Dutch, Staunton Gambit","1 d4 f5 2 e4"
A83,"Dutch, Staunton Gambit","1 d4 f5 2 e4 fxe4 3 Nc3 Nf6 4 Bg5"
A84,"Dutch","1 d4 f5 2 c4"
A85,"Dutch, with c4 & Nc3","1 d4 f5 2 c4 Nf6 3 Nc3"
A86,"Dutch","1 d4 f5 2 c4 Nf6 3 g3"
A87,"Dutch, Leningrad, Main Variation","1 d4 f5 2 c4 Nf6 3 g3 g6 4 Bg2 Bg7 5 Nf3"
A88,"Dutch, Leningrad, Main Variation with c6","1 d4 f5 2 c4 Nf6 3 g3 g6 4 Bg2 Bg7 5 Nf3 O-O 6 O-O d6 7 Nc3 c6"
A89,"Dutch, Leningrad, Main Variation with Nc6","1 d4 f5 2 c4 Nf6 3 g3 g6 4 Bg2 Bg7 5 Nf3 O-O 6 O-O d6 7 Nc3 Nc6"
A90,"Dutch","1 d4 f5 2 c4 Nf6 3 g3 e6 4 Bg2"
A91,"Dutch Defense","1 d4 f5 2 c4 Nf6 3 g3 e6 4 Bg2 Be7"
A92,"Dutch","1 d4 f5 2 c4 Nf6 3 g3 e6 4 Bg2 Be7 5 Nf3 O-O"
A93,"Dutch, Stonewall, Botvinnik Variation","1 d4 f5 2 c4 Nf6 3 g3 e6 4 Bg2 Be7 5 Nf3 O-O 6 O-O d5 7 b3"
A94,"Dutch, Stonewall with Ba3","1 d4 f5 2 c4 Nf6 3 g3 e6 4 Bg2 Be7 5 Nf3 O-O 6 O-O d5 7 b3 c6 8 Ba3"
A95,"Dutch, Stonewall","1 d4 f5 2 c4 Nf6 3 g3 e6 4 Bg2 Be7 5 Nf3 O-O 6 O-O d5 7 Nc3 c6"
A96,"Dutch, Classical Variation","1 d4 f5 2 c4 Nf6 3 g3 e6 4 Bg2 Be7 5 Nf3 O-O 6 O-O d6"
A97,"Dutch, Ilyin-Genevsky","1 d4 f5 2 c4 Nf6 3 g3 e6 4 Bg2 Be7 5 Nf3 O-O 6 O-O d6 7 Nc3 Qe8"
A98,"Dutch, Ilyin-Genevsky Variation with Qc2","1 d4 f5 2 c4 Nf6 3 g3 e6 4 Bg2 Be7 5 Nf3 O-O 6 O-O d6 7 Nc3 Qe8 8 Qc2"
A99,"Dutch, Ilyin-Genevsky Variation with b3","1 d4 f5 2 c4 Nf6 3 g3 e6 4 Bg2 Be7 5 Nf3 O-O 6 O-O d6 7 Nc3 Qe8 8 b3"
B00,"Uncommon King's Pawn Opening","1 e4"
B01,"Scandinavian","1 e4 d5"
B02,"Alekhine's Defense","1 e4 Nf6"
B03,"Alekhine's Defense","1 e4 Nf6 2 e5 Nd5 3 d4"
B04,"Alekhine's Defense, Modern","1 e4 Nf6 2 e5 Nd5 3 d4 d6 4 Nf3"
B05,"Alekhine's Defense, Modern","1 e4 Nf6 2 e5 Nd5 3 d4 d6 4 Nf3 Bg4"
B06,"Robatsch","1 e4 g6"
B07,"Pirc","1 e4 d6 2 d4 Nf6"
B08,"Pirc, Classical","1 e4 d6 2 d4 Nf6 3 Nc3 g6 4 Nf3"
B09,"Pirc, Austrian Attack","1 e4 d6 2 d4 Nf6 3 Nc3 g6 4 f4"
B10,"Caro-Kann","1 e4 c6"
B11,"Caro-Kann, Two Knights, 3...Bg4","1 e4 c6 2 Nc3 d5 3 Nf3 Bg4"
B12,"Caro-Kann Defense","1 e4 c6 2 d4"
B13,"Caro-Kann, Exchange","1 e4 c6 2 d4 d5 3 exd5 cxd5"
B14,"Caro-Kann, Panov-Botvinnik Attack","1 e4 c6 2 d4 d5 3 exd5 cxd5 4 c4 Nf6 5 Nc3 e6"
B15,"Caro-Kann","1 e4 c6 2 d4 d5 3 Nc3"
B16,"Caro-Kann, Bronstein-Larsen Variation","1 e4 c6 2 d4 d5 3 Nc3 dxe4 4 Nxe4 Nf6 5 Nxf6+ gxf6"
B17,"Caro-Kann, Steinitz Variation","1 e4 c6 2 d4 d5 3 Nc3 dxe4 4 Nxe4 Nd7"
B18,"Caro-Kann, Classical","1 e4 c6 2 d4 d5 3 Nc3 dxe4 4 Nxe4 Bf5"
B19,"Caro-Kann, Classical","1 e4 c6 2 d4 d5 3 Nc3 dxe4 4 Nxe4 Bf5 5 Ng3 Bg6 6 h4 h6 7 Nf3 Nd7"
B20,"Sicilian","1 e4 c5"
B21,"Sicilian, 2.f4 and 2.d4","1 e4 c5 2 f4"
B22,"Sicilian, Alapin","1 e4 c5 2 c3"
B23,"Sicilian, Closed","1 e4 c5 2 Nc3"
B24,"Sicilian, Closed","1 e4 c5 2 Nc3 Nc6 3 g3"
B25,"Sicilian, Closed","1 e4 c5 2 Nc3 Nc6 3 g3 g6 4 Bg2 Bg7 5 d3 d6"
B26,"Sicilian, Closed, 6.Be3","1 e4 c5 2 Nc3 Nc6 3 g3 g6 4 Bg2 Bg7 5 d3 d6 6 Be3"
B27,"Sicilian","1 e4 c5 2 Nf3"
B28,"Sicilian, O'Kelly Variation","1 e4 c5 2 Nf3 a6"
B29,"Sicilian, Nimzovich-Rubinstein","1 e4 c5 2 Nf3 Nf6"
B30,"Sicilian","1 e4 c5 2 Nf3 Nc6"
B31,"Sicilian, Rossolimo Variation","1 e4 c5 2 Nf3 Nc6 3 Bb5 g6"
B32,"Sicilian","1 e4 c5 2 Nf3 Nc6 3 d4 cxd4 4 Nxd4 e5"
B33,"Sicilian","1 e4 c5 2 Nf3 Nc6 3 d4 cxd4 4 Nxd4"
B34,"Sicilian, Accelerated Fianchetto","1 e4 c5 2 Nf3 Nc6 3 d4 cxd4 4 Nxd4 g6 5 Nxc6"
B35,"Sicilian, Accelerated Fianchetto, Modern Variation with Bc4","1 e4 c5 2 Nf3 Nc6 3 d4 cxd4 4 Nxd4 g6 5 Nc3 Bg7 6 Be3 Nf6 7 Bc4"
B36,"Sicilian, Accelerated Fianchetto","1 e4 c5 2 Nf3 Nc6 3 d4 cxd4 4 Nxd4 g6 5 c4"
B37,"Sicilian, Accelerated Fianchetto","1 e4 c5 2 Nf3 Nc6 3 d4 cxd4 4 Nxd4 g6 5 c4 Bg7"
B38,"Sicilian, Accelerated Fianchetto, Maroczy Bind, 6.Be3","1 e4 c5 2 Nf3 Nc6 3 d4 cxd4 4 Nxd4 g6 5 c4 Bg7 6 Be3"
B39,"Sicilian, Accelerated Fianchetto, Breyer Variation","1 e4 c5 2 Nf3 Nc6 3 d4 cxd4 4 Nxd4 g6 5 c4 Bg7 6 Be3 Nf6 7 Nc3 Ng4"
B40,"Sicilian","1 e4 c5 2 Nf3 e6"
B41,"Sicilian, Kan","1 e4 c5 2 Nf3 e6 3 d4 cxd4 4 Nxd4 a6"
B42,"Sicilian, Kan","1 e4 c5 2 Nf3 e6 3 d4 cxd4 4 Nxd4 a6 5 Bd3"
B43,"Sicilian, Kan, 5.Nc3","1 e4 c5 2 Nf3 e6 3 d4 cxd4 4 Nxd4 a6 5 Nc3"
B44,"Sicilian","1 e4 c5 2 Nf3 e6 3 d4 cxd4 4 Nxd4 Nc6"
B45,"Sicilian, Taimanov","1 e4 c5 2 Nf3 e6 3 d4 cxd4 4 Nxd4 Nc6 5 Nc3"
B46,"Sicilian, Taimanov Variation","1 e4 c5 2 Nf3 e6 3 d4 cxd4 4 Nxd4 Nc6 5 Nc3 a6"
B47,"Sicilian, Taimanov (Bastrikov) Variation","1 e4 c5 2 Nf3 e6 3 d4 cxd4 4 Nxd4 Nc6 5 Nc3 Qc7"
B48,"Sicilian, Taimanov Variation","1 e4 c5 2 Nf3 e6 3 d4 cxd4 4 Nxd4 Nc6 5 Nc3 Qc7 6 Be3"
B49,"Sicilian, Taimanov Variation","1 e4 c5 2 Nf3 e6 3 d4 cxd4 4 Nxd4 Nc6 5 Nc3 Qc7 6 Be3 a6 7 Be2"
B50,"Sicilian","1 e4 c5 2 Nf3 d6"
B51,"Sicilian, Canal-Sokolsky (Rossolimo) Attack","1 e4 c5 2 Nf3 d6 3 Bb5+"
B52,"Sicilian, Canal-Sokolsky (Rossolimo) Attack","1 e4 c5 2 Nf3 d6 3 Bb5+ Bd7"
B53,"Sicilian","1 e4 c5 2 Nf3 d6 3 d4 cxd4 4 Qxd4"
B54,"Sicilian","1 e4 c5 2 Nf3 d6 3 d4 cxd4 4 Nxd4"
B55,"Sicilian, Prins Variation, Venice Attack","1 e4 c5 2 Nf3 d6 3 d4 cxd4 4 Nxd4 Nf6 5 f3 e5 6 Bb5+"
B56,"Sicilian","1 e4 c5 2 Nf3 d6 3 d4 cxd4 4 Nxd4 Nf6 5 Nc3"
B57,"Sicilian","1 e4 c5 2 Nf3 d6 3 d4 cxd4 4 Nxd4 Nf6 5 Nc3 Nc6 6 Bc4"
B58,"Sicilian","1 e4 c5 2 Nf3 Nc6 3 d4 cxd4 4 Nxd4 Nf6 5 Nc3 d6 6 Be2"
B59,"Sicilian, Boleslavsky Variation, 7.Nb3","1 e4 c5 2 Nf3 Nc6 3 d4 cxd4 4 Nxd4 Nf6 5 Nc3 d6 6 Be2 e5 7 Nb3"
B60,"Sicilian, Richter-Rauzer","1 e4 c5 2 Nf3 d6 3 d4 cxd4 4 Nxd4 Nf6 5 Nc3 Nc6 6 Bg5"
B61,"Sicilian, Richter-Rauzer, Larsen Variation, 7.Qd2","1 e4 c5 2 Nf3 d6 3 d4 cxd4 4 Nxd4 Nf6 5 Nc3 Nc6 6 Bg5 Bd7 7 Qd2"
B62,"Sicilian, Richter-Rauzer","1 e4 c5 2 Nf3 d6 3 d4 cxd4 4 Nxd4 Nf6 5 Nc3 Nc6 6 Bg5 e6"
B63,"Sicilian, Richter-Rauzer Attack","1 e4 c5 2 Nf3 d6 3 d4 cxd4 4 Nxd4 Nf6 5 Nc3 Nc6 6 Bg5 e6 7 Qd2"
B64,"Sicilian, Richter-Rauzer Attack","1 e4 c5 2 Nf3 d6 3 d4 cxd4 4 Nxd4 Nf6 5 Nc3 Nc6 6 Bg5 e6 7 Qd2 Be7 8 O-O-O O-O 9 f4"
B65,"Sicilian, Richter-Rauzer Attack, 7...Be7 Defense, 9...Nxd4","1 e4 c5 2 Nf3 d6 3 d4 cxd4 4 Nxd4 Nf6 5 Nc3 Nc6 6 Bg5 e6 7 Qd2 Be7 8 O-O-O O-O 9 f4 Nxd4 10 Qxd4"
B66,"Sicilian, Richter-Rauzer Attack, 7...a6","1 e4 c5 2 Nf3 d6 3 d4 cxd4 4 Nxd4 Nf6 5 Nc3 Nc6 6 Bg5 e6 7 Qd2 a6"
B67,"Sicilian, Richter-Rauzer Attack, 7...a6 Defense, 8...Bd7","1 e4 c5 2 Nf3 d6 3 d4 cxd4 4 Nxd4 Nf6 5 Nc3 Nc6 6 Bg5 e6 7 Qd2 a6 8 O-O-O Bd7"
B68,"Sicilian, Richter-Rauzer Attack, 7...a6 Defense, 9...Be7","1 e4 c5 2 Nf3 d6 3 d4 cxd4 4 Nxd4 Nf6 5 Nc3 Nc6 6 Bg5 e6 7 Qd2 a6 8 O-O-O Bd7 9 f4 Be7"
B69,"Sicilian, Richter-Rauzer Attack, 7...a6 Defense, 11.Bxf6","1 e4 c5 2 Nf3 d6 3 d4 cxd4 4 Nxd4 Nf6 5 Nc3 Nc6 6 Bg5 e6 7 Qd2 a6 8 O-O-O Bd7 9 f4 Be7 10 Nf3 b5 11 Bxf6"
B70,"Sicilian, Dragon Variation","1 e4 c5 2 Nf3 d6 3 d4 cxd4 4 Nxd4 Nf6 5 Nc3 g6"
B71,"Sicilian, Dragon, Levenfish Variation","1 e4 c5 2 Nf3 d6 3 d4 cxd4 4 Nxd4 Nf6 5 Nc3 g6 6 f4"
B72,"Sicilian, Dragon","1 e4 c5 2 Nf3 d6 3 d4 cxd4 4 Nxd4 Nf6 5 Nc3 g6 6 Be3"
B73,"Sicilian, Dragon, Classical","1 e4 c5 2 Nf3 d6 3 d4 cxd4 4 Nxd4 Nf6 5 Nc3 g6 6 Be3 Bg7 7 Be2 Nc6 8 O-O"
B74,"Sicilian, Dragon, Classical","1 e4 c5 2 Nf3 d6 3 d4 cxd4 4 Nxd4 Nf6 5 Nc3 g6 6 Be3 Bg7 7 Be2 Nc6 8 O-O O-O 9 Nb3"
B75,"Sicilian, Dragon, Yugoslav Attack","1 e4 c5 2 Nf3 d6 3 d4 cxd4 4 Nxd4 Nf6 5 Nc3 g6 6 Be3 Bg7 7 f3"
B76,"Sicilian, Dragon, Yugoslav Attack","1 e4 c5 2 Nf3 d6 3 d4 cxd4 4 Nxd4 Nf6 5 Nc3 g6 6 Be3 Bg7 7 f3 O-O"
B77,"Sicilian, Dragon, Yugoslav Attack","1 e4 c5 2 Nf3 d6 3 d4 cxd4 4 Nxd4 Nf6 5 Nc3 g6 6 Be3 Bg7 7 f3 O-O 8 Qd2 Nc6 9 Bc4"
B78,"Sicilian, Dragon, Yugoslav Attack, 10.castle long","1 e4 c5 2 Nf3 d6 3 d4 cxd4 4 Nxd4 Nf6 5 Nc3 g6 6 Be3 Bg7 7 f3 O-O 8 Qd2 Nc6 9 Bc4 Bd7 10 O-O-O"
B79,"Sicilian, Dragon, Yugoslav Attack, 12.h4","1 e4 c5 2 Nf3 d6 3 d4 cxd4 4 Nxd4 Nf6 5 Nc3 g6 6 Be3 Bg7 7 f3 O-O 8 Qd2 Nc6 9 Bc4 Bd7 10 O-O-O Qa5 11 Bb3 Rfc8 12 h4"
B80,"Sicilian, Scheveningen","1 e4 c5 2 Nf3 d6 3 d4 cxd4 4 Nxd4 Nf6 5 Nc3 e6"
B81,"Sicilian, Scheveningen, Keres Attack","1 e4 c5 2 Nf3 d6 3 d4 cxd4 4 Nxd4 Nf6 5 Nc3 e6 6 g4"
B82,"Sicilian, Scheveningen","1 e4 c5 2 Nf3 d6 3 d4 cxd4 4 Nxd4 Nf6 5 Nc3 e6 6 f4"
B83,"Sicilian","1 e4 c5 2 Nf3 d6 3 d4 cxd4 4 Nxd4 Nf6 5 Nc3 e6 6 Be2"
